DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
5/15/20 0:00,4135001,HmiyD2TTLFNqkNe,25.18,22.86,0.00
5/15/20 0:15,4135001,HmiyD2TTLFNqkNe,25.08,22.76,0.00
5/15/20 0:30,4135001,HmiyD2TTLFNqkNe,24.94,22.59,0.00
5/15/20 0:45,4135001,HmiyD2TTLFNqkNe,24.85,22.36,0.00
5/15/20 1:00,4135001,HmiyD2TTLFNqkNe,24.62,22.17,0.00
5/15/20 1:15,4135001,HmiyD2TTLFNqkNe,24.54,21.97,0.00
5/15/20 1:30,4135001,HmiyD2TTLFNqkNe,24.64,22.35,0.00
5/15/20 1:45,4135001,HmiyD2TTLFNqkNe,24.87,23.16,0.00
5/15/20 2:00,4135001,HmiyD2TTLFNqkNe,24.94,23.03,0.00
5/15/20 2:15,4135001,HmiyD2TTLFNqkNe,25.01,23.34,0.00
5/15/20 2:30,4135001,HmiyD2TTLFNqkNe,25.01,23.64,0.00
5/15/20 2:45,4135001,HmiyD2TTLFNqkNe,24.99,24.04,0.00
5/15/20 3:00,4135001,HmiyD2TTLFNqkNe,25.02,24.38,0.00
5/15/20 3:15,4135001,HmiyD2TTLFNqkNe,24.99,24.35,0.00
5/15/20 3:30,4135001,HmiyD2TTLFNqkNe,24.94,24.06,0.00
5/15/20 3:45,4135001,HmiyD2TTLFNqkNe,24.88,23.71,0.00
5/15/20 4:00,4135001,HmiyD2TTLFNqkNe,24.68,22.59,0.00
5/15/20 4:15,4135001,HmiyD2TTLFNqkNe,24.35,21.78,0.00
5/15/20 4:30,4135001,HmiyD2TTLFNqkNe,24.06,21.85,0.00
5/15/20 4:45,4135001,HmiyD2TTLFNqkNe,24.01,22.31,0.00
5/15/20 5:00,4135001,HmiyD2TTLFNqkNe,24.18,22.55,0.00
5/15/20 5:15,4135001,HmiyD2TTLFNqkNe,24.30,22.98,0.00
5/15/20 5:30,4135001,HmiyD2TTLFNqkNe,24.33,23.45,0.00
5/15/20 5:45,4135001,HmiyD2TTLFNqkNe,24.29,23.10,0.00
5/15/20 6:00,4135001,HmiyD2TTLFNqkNe,24.09,22.21,0.01
5/15/20 6:15,4135001,HmiyD2TTLFNqkNe,24.01,22.35,0.02
5/15/20 6:30,4135001,HmiyD2TTLFNqkNe,23.98,22.89,0.05
5/15/20 6:45,4135001,HmiyD2TTLFNqkNe,24.22,24.44,0.10
5/15/20 7:00,4135001,HmiyD2TTLFNqkNe,24.54,27.19,0.14
5/15/20 7:15,4135001,HmiyD2TTLFNqkNe,24.82,28.89,0.15
5/15/20 7:30,4135001,HmiyD2TTLFNqkNe,24.99,29.61,0.15
5/15/20 7:45,4135001,HmiyD2TTLFNqkNe,25.22,29.55,0.14
5/15/20 8:00,4135001,HmiyD2TTLFNqkNe,25.42,31.41,0.20
5/15/20 8:15,4135001,HmiyD2TTLFNqkNe,25.96,35.53,0.35
5/15/20 8:30,4135001,HmiyD2TTLFNqkNe,26.43,40.32,0.41
5/15/20 8:45,4135001,HmiyD2TTLFNqkNe,26.83,39.08,0.31
5/15/20 9:00,4135001,HmiyD2TTLFNqkNe,27.62,45.01,0.62
5/15/20 9:15,4135001,HmiyD2TTLFNqkNe,27.99,46.62,0.34
5/15/20 9:30,4135001,HmiyD2TTLFNqkNe,27.52,39.14,0.25
5/15/20 9:45,4135001,HmiyD2TTLFNqkNe,27.45,40.93,0.54
5/15/20 10:00,4135001,HmiyD2TTLFNqkNe,28.63,52.55,0.67
5/15/20 10:15,4135001,HmiyD2TTLFNqkNe,28.77,47.63,0.57
5/15/20 10:30,4135001,HmiyD2TTLFNqkNe,29.35,49.25,0.46
5/15/20 10:45,4135001,HmiyD2TTLFNqkNe,28.85,44.05,0.36
5/15/20 11:00,4135001,HmiyD2TTLFNqkNe,29.41,47.69,0.64
5/15/20 11:15,4135001,HmiyD2TTLFNqkNe,30.22,50.01,0.59
5/15/20 11:30,4135001,HmiyD2TTLFNqkNe,30.29,49.84,0.56
5/15/20 11:45,4135001,HmiyD2TTLFNqkNe,30.81,47.84,0.47
5/15/20 12:00,4135001,HmiyD2TTLFNqkNe,31.31,49.18,0.51
5/15/20 12:15,4135001,HmiyD2TTLFNqkNe,31.51,49.84,0.79
5/15/20 12:30,4135001,HmiyD2TTLFNqkNe,32.15,52.35,0.65
5/15/20 12:45,4135001,HmiyD2TTLFNqkNe,32.39,50.63,0.76
5/15/20 13:00,4135001,HmiyD2TTLFNqkNe,32.62,49.61,0.42
5/15/20 13:15,4135001,HmiyD2TTLFNqkNe,32.50,47.01,0.49
5/15/20 13:30,4135001,HmiyD2TTLFNqkNe,32.52,46.67,0.57
5/15/20 13:45,4135001,HmiyD2TTLFNqkNe,32.68,47.52,0.56
5/15/20 14:00,4135001,HmiyD2TTLFNqkNe,33.76,49.80,0.74
